F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0     1     0  0  80   0 -  5704 ep_pol ?        00:00:01 systemd
1 S     0     2     0  0  80   0 -     0 kthrea ?        00:00:00 kthreadd
1 S     0     3     2  0  80   0 -     0 smpboo ?        00:00:00 ksoftirqd/0
1 S     0     5     2  0  60 -20 -     0 worker ?        00:00:00 kworker/0:0H
1 S     0     6     2  0  80   0 -     0 worker ?        00:00:00 kworker/u2:0
1 S     0     7     2  0  80   0 -     0 rcu_gp ?        00:00:00 rcu_sched
1 S     0     8     2  0  80   0 -     0 rcu_gp ?        00:00:00 rcu_bh
1 S     0     9     2  0 -40   - -     0 smpboo ?        00:00:00 migration/0
5 S     0    10     2  0 -40   - -     0 smpboo ?        00:00:00 watchdog/0
1 S     0    11     2  0  60 -20 -     0 rescue ?        00:00:00 khelper
5 S     0    12     2  0  80   0 -     0 devtmp ?        00:00:00 kdevtmpfs
1 S     0    13     2  0  60 -20 -     0 rescue ?        00:00:00 netns
1 S     0    14     2  0  80   0 -     0 watchd ?        00:00:00 khungtaskd
1 S     0    15     2  0  60 -20 -     0 rescue ?        00:00:00 writeback
1 S     0    16     2  0  85   5 -     0 ksm_sc ?        00:00:00 ksmd
1 S     0    17     2  0  99  19 -     0 khugep ?        00:00:00 khugepaged
1 S     0    18     2  0  60 -20 -     0 rescue ?        00:00:00 crypto
1 S     0    19     2  0  60 -20 -     0 rescue ?        00:00:00 kintegrityd
1 S     0    20     2  0  60 -20 -     0 rescue ?        00:00:00 bioset
1 S     0    21     2  0  60 -20 -     0 rescue ?        00:00:00 kblockd
1 S     0    23     2  0  80   0 -     0 kswapd ?        00:00:00 kswapd0
1 S     0    24     2  0  80   0 -     0 fsnoti ?        00:00:00 fsnotify_mark
1 S     0    30     2  0  60 -20 -     0 rescue ?        00:00:00 kthrotld
1 S     0    31     2  0  60 -20 -     0 rescue ?        00:00:00 ipv6_addrconf
1 S     0    32     2  0  60 -20 -     0 rescue ?        00:00:00 deferwq
1 S     0    66     2  0  80   0 -     0 hub_th ?        00:00:00 khubd
1 S     0    67     2  0  60 -20 -     0 rescue ?        00:00:00 ata_sff
1 S     0    69     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_0
1 S     0    70     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_0
1 S     0    71     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_1
1 S     0    72     2  0  80   0 -     0 worker ?        00:00:00 kworker/u2:2
1 S     0    73     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_1
1 S     0    74     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_2
1 S     0    75     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_2
1 S     0    81     2  0  60 -20 -     0 worker ?        00:00:00 kworker/0:1H
1 S     0   105     2  0  80   0 -     0 kjourn ?        00:00:00 jbd2/sda1-8
1 S     0   106     2  0  60 -20 -     0 rescue ?        00:00:00 ext4-rsv-conver
1 S     0   137     2  0  80   0 -     0 kaudit ?        00:00:00 kauditd
4 S     0   138     1  0  80   0 -  2098 ep_pol ?        00:00:00 systemd-journal
4 S     0   146     1  0  80   0 -  3219 ep_pol ?        00:00:00 systemd-udevd
1 S     0   184     2  0  60 -20 -     0 rescue ?        00:00:00 iprt-VBoxWQueue
1 S     0   227     2  0  60 -20 -     0 rescue ?        00:00:00 kpsmoused
4 S   100   251     1  0  80   0 -  3074 ep_pol ?        00:00:00 systemd-timesyn
5 S     0   365     1  0  80   0 -  1091 poll_s ?        00:00:00 rpcbind
5 S   107   390     1  0  80   0 -  1140 poll_s ?        00:00:00 rpc.statd
1 S     0   395     2  0  60 -20 -     0 rescue ?        00:00:00 rpciod
1 S     0   397     2  0  60 -20 -     0 rescue ?        00:00:00 nfsiod
1 S     0   404     1  0  80   0 -   727 ep_pol ?        00:00:00 rpc.idmapd
4 S     0   406     1  0  80   0 -  9118 poll_s ?        00:00:00 accounts-daemon
4 S     0   407     1  0  80   0 -  1248 hrtime ?        00:00:00 cron
4 S     0   408     1  0  80   0 - 10006 poll_s ?        00:00:00 ModemManager
4 S     0   410     1  0  80   0 - 13883 poll_s ?        00:00:00 NetworkManager
4 S     0   412     1  0  80   0 -  2020 poll_s ?        00:00:00 sshd
4 S     1   413     1  0  80   0 -   659 hrtime ?        00:00:00 atd
4 S     0   417     1  0  80   0 -   936 ep_pol ?        00:00:00 systemd-logind
4 S   105   424     1  0  80   0 -   887 poll_s ?        00:00:00 avahi-daemon
4 S   104   426     1  0  80   0 -  1447 ep_pol ?        00:00:00 dbus-daemon
5 S     0   445     1  0  80   0 -   541 poll_s ?        00:00:00 minissdpd
