UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
root         1     0     1  0    1 12:20 ?        00:00:01 /sbin/init
root         2     0     2  0    1 12:20 ?        00:00:00 [kthreadd]
root         3     2     3  0    1 12:20 ?        00:00:00 [ksoftirqd/0]
root         5     2     5  0    1 12:20 ?        00:00:00 [kworker/0:0H]
root         6     2     6  0    1 12:20 ?        00:00:00 [kworker/u2:0]
root         7     2     7  0    1 12:20 ?        00:00:00 [rcu_sched]
root         8     2     8  0    1 12:20 ?        00:00:00 [rcu_bh]
root         9     2     9  0    1 12:20 ?        00:00:00 [migration/0]
root        10     2    10  0    1 12:20 ?        00:00:00 [watchdog/0]
root        11     2    11  0    1 12:20 ?        00:00:00 [khelper]
root        12     2    12  0    1 12:20 ?        00:00:00 [kdevtmpfs]
root        13     2    13  0    1 12:20 ?        00:00:00 [netns]
root        14     2    14  0    1 12:20 ?        00:00:00 [khungtaskd]
root        15     2    15  0    1 12:20 ?        00:00:00 [writeback]
root        16     2    16  0    1 12:20 ?        00:00:00 [ksmd]
root        17     2    17  0    1 12:20 ?        00:00:00 [khugepaged]
root        18     2    18  0    1 12:20 ?        00:00:00 [crypto]
root        19     2    19  0    1 12:20 ?        00:00:00 [kintegrityd]
root        20     2    20  0    1 12:20 ?        00:00:00 [bioset]
root        21     2    21  0    1 12:20 ?        00:00:00 [kblockd]
root        23     2    23  0    1 12:20 ?        00:00:00 [kswapd0]
root        24     2    24  0    1 12:20 ?        00:00:00 [fsnotify_mark]
root        30     2    30  0    1 12:20 ?        00:00:00 [kthrotld]
root        31     2    31  0    1 12:20 ?        00:00:00 [ipv6_addrconf]
root        32     2    32  0    1 12:20 ?        00:00:00 [deferwq]
root        66     2    66  0    1 12:20 ?        00:00:00 [khubd]
root        67     2    67  0    1 12:20 ?        00:00:00 [ata_sff]
root        69     2    69  0    1 12:20 ?        00:00:00 [scsi_eh_0]
root        70     2    70  0    1 12:20 ?        00:00:00 [scsi_tmf_0]
